comments,title,genre,artist,duration
0.0,New brave face,pop,"Oh Yeah, the Future",08:31
0.0,Time Times Sound,rock,Long Hair,08:31
0.0,"Here it comes, Tramontane!",rock,CRTVTR,08:31
0.0,Bach Organ Works: Trio Sonatas,classical,James Kibbie,08:31
0.0,Big Choantza,jazz,The New Mellow Edwards,08:30
6.0,C3S :: Ignition Mix,rock,/'angstalt/,08:30
1.0,Orff: Carmina Burana,classical,MIT Concert Choir,08:29
2.0,Big Whoop,hiphop,godmanwho,08:27
0.0,CordinRidin....,rock,The Wire Orchestra,08:27
0.0,"Live at Monty Hall, 2/13/2016",rock,Long Beard,08:27
0.0,C3 and the Juhla Journey,rock,Dee Zee,08:27
1.0,The Gong Is the Moon,pop,The Polyps,08:26
0.0,"Live at WFMU on Brian Turner's Show on November 29, 2011",rock,Wooden Shjips,08:25
0.0,Music for Rabbits,pop,Music for Rabbits,08:24
0.0,"Live at WFMU on Beastin' the Airwaves with Keili, Dec. 17th 2010",rock,Talk Normal,08:24
0.0,Gasps &amp; Fissures,jazz,Kyle Bruckmann,08:23
0.0,Burial dream,rock,Sarin,08:23
0.0,Live at WFMU on Brian Turner's Show on 7/25/2006,rock,Citay,08:22
0.0,Circus,jazz,Miodrag Marjanov Quintet,08:21
0.0,Live on WFMU's Three Chord Monte with Joe Belock 4/28/11,rock,Steve Wynn,08:21
0.0,"Live on WFMU's Cherry Blossom Clinic - Sep 21, 2013",rock,Obits,08:21
0.0,Uninvite Me!,rock,Stolen Children Surf Gang,08:20
0.0,Goodbye to the Divine,rock,Plastic Crimewave Sound,08:20
0.0,American Standard,pop,Matt Carlson,08:20
0.0,L'homme qui viens du froid,hiphop,ICE FLEX,08:19
0.0,"Live at WFMU's Free Music Series, Southpaw 10/13/2007",rock,Alan Vega & Oneida,08:18
0.0,Live at the OK Corral (live),rock,Disco Missile,08:18
0.0,And Now We Stand Against The Wall,pop,Garmisch,08:18
0.0,"Live on WFMU's Dark Night of The Soul with Julie - May 9, 2013",rock,The Laurels,08:17
0.0,M.A.G Trio plays Standards,jazz,M.A.G. Trio,08:17
0.0,I Die Smiling,rock,The Sun Through A Telescope,08:17
0.0,Doin' The Raps XE,hiphop,D3Zs,08:17
0.0,"Live at WFMU on Diane's Kamikaze Fun Machine, Nov. 16, 2010",rock,Easy Action,08:17
0.0,"Live at WFMU on Beastin' The Airwaves! with Keili on August 28, 2011",rock,Hooves,08:16
0.0,Escape / Restart,rock,Radius System,08:15
0.0,Made In Naples,rock,NanowaR,08:15
0.0,Blauwgeel,rock,All shall be well (and all shall be well and all manner of things shall be well),08:15
0.0,Live on WFMU's Talk's Cheap 12/15/2009,rock,Ultrathin,08:14
0.0,Runnin' Ape-like from the Backwards Superman: 1989 - 1995,rock,Monoshock,08:14
0.0,"Live on Diane's Kamikaze Fun Machine, Oct 5 2010",rock,Kowloon Walled City,08:14
5.0,Live on WFMU's Beastin' the Airwaves with Keili April 27 2011,rock,Screaming Females,08:13
0.0,Ravel,classical,Felipe Sarro,08:13
0.0,Hemogoblin,pop,Attic Ted,08:12
1.0,Ga'an,rock,Ga'an,08:12
0.0,Stages,rock,"look, orion!",08:12
0.0,soBELOW (THE groundZERO SINGLES 2006-2016),hiphop,LOWdown,08:12
0.0,Vinegar Eel,rock,Disco Missile,08:11
3.0,Kaos O Labo (Piece of Wood),rock,Salmo,08:09
0.0,Everything is Different: Impossebulls Remixxed,hiphop,The Impossebulls,08:09
1.0,House of Uzzardi (live),rock,King Ghidorah!,08:08
0.0,Tooth Eeth or Teeth Ooth,rock,Hammer of Hathor,08:08
0.0,"Live on WFMU's Underwater Theme park with Meghan: July 24, 2014",rock,Ought,08:08
0.0,Left songs,rock,Mesmerists,08:07
0.0,"Live at WFMU on Beastin' the Airwaves with Keili, Feb 13th 2011",rock,Fergus & Geronimo,08:07
0.0,Live at WFMU on Scott McDowell's Show on 10/8/2008,rock,Takka Takka,08:07
0.0,Live at WFMU on Liz B's Show on 3/24/2008,rock,Mors Ontologica,08:06
0.0,Live on WFMU's Three Chord Monte 11/18/10,rock,Brian Wilson Shock Treatment,08:06
0.0,Live at WFMU on Terre T's Show on 11/15/2008,rock,The Feeling of Love,08:06
0.0,Witch Pizza Going Sally,pop,Pee-Bug,08:05
1.0,Dead Bodies float in Space,rock,Holy Cobras,08:05
0.0,Live on WFMU with Brian Turner December 6 2011,rock,Mueran Humanos,08:05
0.0,End of Line,jazz,Quantum Jazz,08:05
0.0,"Live at WFMU on Diane's Kamikaze Fun Machine, Oct 5 2010",rock,Batillus,08:04
0.0,Bach Organ Works: Leipzig Chorales,classical,James Kibbie,08:04
0.0,La bèl pop (fifth anniversary compilation),pop,Soni Sfardati,08:03
0.0,Urban Assault Vehicle,jazz,"Joe McPhee with Roy Campbell, Joe Giardullo, Dominic Duval, Mike Bisio, Jay Rosen",08:03
0.0,De-Memorization Techniques,pop,EARTH-ENEMY,08:02
0.0,Live at WFMU on The Long Rally 12/10/2008,jazz,Mary Halvorson Trio,08:02
1.0,Live at WFMU on Brian Turner's Show on 6/10/2008,blues,Ignatz,08:02
1.0,"Franz Schubert's Sonata in B Flat, D. 960",classical,David H. Porter,08:02
0.0,Tape,rock,The Valleys,08:02
-1.0,Melange,rock,Melange,08:02
2.0,Selections from the 2005-2006 Season,classical,Advent Chamber Orchestra,08:01
0.0,"Live at WFMU on Talk's Cheap with Jason Sigal September 29, 2011",rock,Fat History Month,08:00
0.0,Bergwald Bergwald,rock,Every Now and Every Then,08:00
0.0,A Lifetime of Nervous Gut Aches Vol. 4,pop,Sexton Ming,08:00
0.0,Without God,rock,Without God,08:00
0.0,HLFP #4 Sound Explosions,rock,Homemade-LoFi-Psych,07:59
0.0,"Live At the Cedar Cultural Center Minnespolis, Minnesota with Andrew Broder of Fog Nov 2007",jazz,George Cartwright's Gloryland PonyCat,07:58
1.0,RIP Syringe Stick Up Mama,hiphop,The Professional Savage,07:58
0.0,Now,rock,Spitfire Parade,07:58
0.0,"Live at Southpaw, Brooklyn for WFMU's Free Music Series Oct 13, 2007",rock,Old Time Relijun,07:58
0.0,Everybody Loves Ramsden,rock,Ramsden,07:58
0.0,"Live on WFMU's 100% Whatever with Mary Wing - July 12, 2015",rock,Monk Parker,07:57
1.0,"WFMU/FMA SxSW, March 18th 2011",rock,Sun Araw,07:57
0.0,Live at Le Club Suburbia 14/11/2008,rock,Sic Alps,07:57
0.0,"Live at WFMU on Three Chord Monte with Joe Belock on September 8, 2011",rock,Sally Crewe And the Sudden Moves,07:56
0.0,Talk To You Probably Soon,jazz,Yen Pox,07:56
0.0,"Live on WFMU's Cherry Blossom Clinic with Terre T: May 10, 2014",rock,Priests,07:56
0.0,Live at WFMU on Evan Davies' Show 3/24/09,rock,Cyclone 60,07:56
0.0,House of leaves,rock,Sarin,07:56
0.0,Arrastrado A La Cienaga,rock,Los Cuatrocientos Golpes,07:55
0.0,Haydn: The Seasons (Die Jahreszeiten),classical,MIT Concert Choir,07:55
0.0,"Live on WFMU's Three Chord Monte with Joe Belock - May 30, 2016",rock,Twin Guns,07:54
1.0,Welcome to the World,rock,Still Pluto,07:54
0.0,Rehearsal in Jogja,rock,Malaikat Dan Singa,07:54
0.0,Güacho Vol. 1,rock,Güacho,07:54
0.0,Vol. 1 CD,rock,mackay/watt/estel,07:54
0.0,Integration,hiphop,Kellee Maize,07:53
0.0,"Live at WFMU's Monty Hall, 5/23/2016",rock,The Chills,07:53
0.0,"Their Music, Our Lives",rock,Vapen,07:53
0.0,Live at WFMU on Pat Duncan's Show on 4/3/2008,rock,Laws of Gravity,07:52
0.0,The Pilot's Inside His Mind,rock,Devolver,07:52
0.0,Live on WFMU's Cherry Blossom Clinic with Terre T April 23 2011,rock,Bare Wires,07:52
0.0,"Live at WFMU on Brian Turner's show Dec. 21, 2010",rock,Purling Hiss,07:52
-1.0,Horse Helpers of the High Country,rock,Vitamin Pets,07:50
0.0,Beethoven's Sonata No. 6 in F Major,classical,Daniel Veesey,07:50
0.0,Live at WFMU with Liz Berg on 5/11/2009,rock,We Are the Arm,07:49
0.0,Il Passato Ha Gli Zoccoli,country,Billy Torello,07:49
0.0,Apertures,rock,Catharsy,07:49
0.0,"netBloc Vol. 42: Life, The Universe & Everything",jazz,Pavel Tukki,07:49
0.0,Odds 'n' Ends,rock,Gerbil Church,07:48
0.0,Lights Unfold,rock,Beme Seed,07:47
0.0,Live and Alone (live),rock,Disco Missile,07:47
0.0,"Live on My Castle of Quiet, 14th October 2009",rock,Liturgy,07:47
0.0,Live at WFMU on Dan Bodah's Show 12/7/08,rock,Haale,07:47
0.0,"Live on WFMU's Imaginary Radio with Chris M. - June 20, 2014",rock,Mutilation Rites,07:46
0.0,"Live at WFMU on 100% Whatever with Mary Wing, 5/15/2016",rock,Shana Falana,07:46
0.0,"Live on WFMU's Burn It Down with Nate K: May 31, 2015",rock,Beech Creeps,07:46
0.0,WVA 1996 (live),rock,King Ghidorah!,07:46
0.0,We Be Geese,pop,Geese,07:46
0.0,Legion Hall (live),rock,King Ghidorah!,07:46
0.0,AnaloG LovE,hiphop,Vlooper . Modlee,07:46
0.0,Kohoutek,rock,Celesteville,07:45
1.0,EP I,rock,Sta. Apolónia,07:45
0.0,Halloween,jazz,BLOB,07:45
0.0,"Live on WFMU's Three Chord Monte with Joe Belock - May 7, 2013",pop,Pete Galub,07:45
0.0,OW POW HERO HOUR,pop,Invisible Sports,07:45
0.0,The Man on the Street Where he Lives,rock,Lazer Boy,07:44
0.0,"Live on WFMU with Brian Turner - November 12, 2013",rock,Obnox,07:43
2.0,Immaculada LP,rock,The Men,07:42
0.0,"Live on WFMU's World of Echo with Dave Mandl - October 19, 2014",rock,Even Twice,07:42
0.0,Little Weirdo,rock,Dynomite Cat,07:42
0.0,Live at ATP-NY 2010 - Sian Alice Group,rock,Sian Alice Group,07:41
2.0,JOY,rock,Souvenir Driver,07:41
0.0,The Turquoise,pop,The Pop Winds,07:40
0.0,Let Fall The Sparrow EP,rock,Let Fall The Sparrow,07:40
0.0,Barriers,rock,pandoras.box,07:40
0.0,Live at WFMU on Scott McDowell's Show on June 17 2011,rock,Radical Dads,07:40
0.0,"Live on WFMU's Prove It All Night with Pat Byrne - May 14, 2016",rock,Leapling,07:40
0.0,Live at WFMU on Brian Turner's Show on 6/27/2006,rock,Country Teasers,07:39
0.0,"Live on WFMU's Undancing In The Dirt with Thomas Storck: June 14, 2016",rock,David Nance,07:39
0.0,"Live at Primavera Sound, Barcelona 5/28/09",rock,Magik Markers,07:38
1.0,Live on Noise from Neville 1985,rock,Throwing Muses,07:38
0.0,Cleophila,classical,J.K. Randall,07:37
0.0,Come sunday,jazz,Assif Tsahar & Tatsuya Nakatani,07:37
0.0,Moontime,jazz,Ainst Char,07:37
0.0,Une Simple Théorie des Glaces en Terrasse,rock,Have the moskovik,07:37
0.0,t es viré !,rock,le Chomage,07:36
0.0,Live at WFMU on Terre T's Show on 05/08/2010,rock,White Mystery,07:36
0.0,Live on WFMU's Cherry Blossom Clinic 2/27/2010,rock,The Black Hollies,07:35
0.0,"Ben Johnston: String Quartets Nos. 2, 3, 4 & 9",classical,Ben Johnston,07:34
0.0,Impertinences,rock,Son Altesse Furieuse,07:34
0.0,Retrace Our Steps EP,classical,Paul Bailey Ensemble,07:34
0.0,Aural Shoehorning: I. Plainsong,classical,Barbara Benary,07:33
0.0,Big House,rock,CrumbSnatchers,07:33
0.0,The Slip,rock,Nine Inch Nails,07:33
0.0,Dizzy Playground: A Spookey Ruben Sampler,rock,Spookey Ruben,07:32
0.0,It's Circular,pop,Sky Barstow,07:32
1.0,Cavity,rock,White Suns,07:32
0.0,LIVLIVELUV,rock,Bermuda Triangles,07:31
0.0,Bad Panda #104,pop,Jiony,07:31
0.0,Death's Ship Has A New Captain,rock,Whitman,07:31
0.0,Vortex Rex Live at OCCII,rock,Vortex Rex,07:30
1.0,Surfing EP,rock,Tojamura 7,07:30
0.0,Live at WFMU on Beastin the Airwaves March 25th 2012,rock,No One and the Somebodies,07:30
2.0,Complete Discography ’96 - ‘99,rock,Bullroarer vs Nautical Almanac,07:29
0.0,Silver Lining 1995 (live),rock,King Ghidorah!,07:28
0.0,Helpless wisdom,rock,Rue de Prague,07:28
0.0,The New Mellow Edwards,jazz,The New Mellow Edwards,07:28
0.0,Live at WFMU on Terre T's Show on 11/8/2002,rock,Rah Bras,07:28
0.0,Classic Material Vol. 4: DCOM Radio,hiphop,CM aka Creative,07:27
0.0,Beethoven's Sonata No. 1 In F Minor,classical,Daniel Veesey,07:26
1.0,Dig Deep,hiphop,Just Plain Ant,07:26
1.0,Selections from the December 2006 Concert,classical,Advent Chamber Orchestra,07:26
0.0,"Live at Monty Hall, 2/20/2016",rock,Rye Coalition,07:25
0.0,Lifts the Curse,rock,Souvenir Driver,07:25
0.0,Cold Flowers,jazz,Sandro Marinoni & Stefano Roncarolo with Roberto Padovan,07:25
0.0,Live at WFMU on Scott's Show on 5/26/2000,rock,Mink Lungs,07:25
0.0,Contraflow,rock,Let Me Crazy,07:24
0.0,Live at WFMU on Mike's Show on 9/25/2004,hiphop,Dälek,07:24
0.0,Satin Black,rock,Paik,07:24
0.0,Chocolate Gasoline,rock,The Shining Path,07:23
0.0,Live at WFMU on Dark Night of the Soul with Julie Samhain 2011,rock,Black Fortress of Opium,07:23
0.0,Bacon Street,rock,Salami Junior,07:22
0.0,Far From The Earth Beneath Your Feet,rock,So Far As I Know,07:20
0.0,Greatest Hits Volume 2: Tengemort & Other Absurdities,pop,Oblivian Substanshall,07:20
0.0,Bad Panda #18,rock,Riding Alone for Thousands of Miles,07:20
0.0,APSE live at ATP-NY 2010,rock,Apse,07:19
0.0,Purify,rock,Beme Seed,07:19
1.0,"Franz Danzi: Wind Quintet Opus 67, Nos. 2-3",classical,Soni Ventorum Wind Quintet,07:19
0.0,Oxyc Woody II,pop,Human Resources,07:19
0.0,10 songs of 28 years,jazz,Stephan Siebert,07:19
0.0,Cracked Song,jazz,Ido Bukelman,07:18
0.0,"Live on WFMU's Three Chord Monty with Joe Belock: Sep 7, 2015",rock,Atlantic Thrills,07:18
0.0,split w/Arabian Horses,rock,Asian Women on the Telephone,07:18
0.0,tells untold,blues,Cooper-Moore & Assif Tsahar,07:17
1.0,Ekleipsi Net-Label Halloween Compilation,rock,Art Of Empathy,07:17
0.0,IV: White Walls,rock,Newagehillbilly,07:17
0.0,Toute Est Impossible,hiphop,Alaclair Ensemble,07:17
0.0,Flashing Open,rock,Plastic Crimewave Sound,07:17
1.0,Missing Time,rock,Ian Sutherland,07:16
0.0,Manifesto of The Moment,rock,The Butcherings,07:16
1.0,Live at WFMU/Aquarius SXSW showcase 2009 (XYX),rock,XYX,07:16
0.0,Three Pronged Fork,hiphop,Mported Flows,07:15
0.0,Broken,rock,BIG BUG,07:15
0.0,"A certain reticent instinct, beyond reason",rock,Noaidi,07:14
0.0,Make Memories,rock,Foot Village,07:14
3.0,and still the ground is frozen,pop,owlface,07:13
0.0,The Great Cold,rock,The Great Cold,07:13
0.0,Young Person's Guide to Disco Missile,rock,Disco Missile,07:13
0.0,Bird Of Prey,pop,Liam Stewart,07:12
0.0,Live on WFMU's Hello Children with Faye- 11/27/16,rock,Vanity,07:12
0.0,Live at OCCII 24/06/2009,rock,The Feeling of Love,07:11
0.0,"Live at WFMU on Distort Jersey City, March 15th 2012",rock,Limbs Bin,07:11
0.0,Later Days,rock,Asthmaboy,07:10
0.0,Streamo,rock,CRTVTR,07:10
0.0,Live at WFMU on Talk's Cheap 2/17/2009,pop,Bird Names,07:10
0.0,"Live on WFMU with Therese: June 9, 2014",rock,The Everymen,07:10
1.0,netBloc Vol. 20: music to accompany the world traveller,hiphop,Audible Intelligence,07:10
1.0,Live on Beastin' the Airwaves with Keili on WFMU October 23 2011,rock,Shark?,07:09
0.0,"Franz Schubert's Fantasy in C major ""Wanderer""",classical,Daniel Blanch,07:09
2.0,Last Sigh,rock,Holy Pain,07:09
0.0,Live tribute to J.G. Ballard on WFMU's Choking on Cufflinks 9/5/09,rock,Outpost,07:08
1.0,Live at WFMU on Joe Belock's Show on 1/19/2010,rock,The Doughboys,07:08
0.0,Please Remove Your Head,rock,V.Majestic,07:08
0.0,Bach's Aria Variata,classical,Brendan Kinsella,07:07
0.0,Foreverdark Woods,rock,Is,07:07
0.0,Lofty !,pop,Shy Kids,07:07
0.0,Fishes,pop,Garmisch,07:06
4.0,Lola Montez live at Vondelbunker,rock,Lola Montez,07:06
0.0,Live at WFMU on Talk's Cheap 4/28/09,rock,Bolmongani,07:06
3.0,Biopsja Duszy,rock,Metalmorphosis,07:06
0.0,"Live at WFMU on Diane's Kamikaze Fun Machine November 22, 2011",rock,The Might Could,07:06
0.0,Bras de Pute,rock,Bras de Pute,07:05
0.0,Nerve Damage,rock,Punk Rock Opera,07:05
0.0,Underscores,pop,Pilesar,07:05
0.0,Dimenticarmi Non!,rock,Dimenticarmi Non!,07:05
0.0,Live at WFMU on Pat Duncan's Show on 4/25/2008,rock,SUX,07:05
1.0,Giovanni Animuccia: Missa Victimae Paschali Laudes,classical,The Tudor Consort,07:04
0.0,Secret Talent,rock,Derek Spaldo,07:04
0.0,The Silence Industry,rock,the silence industry,07:04
0.0,Beethoven's Sonata No. 15 in D Major,classical,Karine Gilanyan,07:03
0.0,Five Dollar Medicine,classical,Linden Killam,07:03
0.0,Man vs Monkey EP,hiphop,Codex Machine,07:02
0.0,JAM,jazz,"Assif Tsahar, Mat Maneri & Jim Black",07:02
0.0,"Live on WFMU with Liz Berg, 9/6/2016",rock,Kaz Mirblouk,07:02
0.0,New Age EP,rock,No Zu,07:00
0.0,Be Gentle With the Warm Turtle,rock,Kinski,07:00
0.0,Bad Panda #65,rock,Lockerbie,06:59
0.0,Indonesian Netlabel Compilation (Riot In The Internet),rock,Belajar Membunuh,06:58
0.0,Modus Futurus Posterus Machina,classical,Gavin Gamboa,06:58
0.0,Live at WFMU on Terre T's Show on 04/10/2010,rock,The Above,06:58
0.0,The First Four Moons,rock,Pueblo People,06:57
0.0,"Live at WFMU on Talk's Cheap, Apr 18th 2013",rock,Olneyville Sound System,06:57
1.0,Live at WFMU/Aquarius SXSW showcase 2009,rock,Absu,06:57
0.0,Live at WFMU on Brian Turner's Show on 5/14/2002,blues,Brother JT,06:57
0.0,Run With It,hiphop,G8,06:57
0.0,Live at WFMU on Distort Jersey City July 18th 2012,rock,California X,06:57
0.0,BoyHood Mix,hiphop,BoyHoodBuchi,06:57
0.0,Vol 4: Satie: Rearranged Furniture Music,classical,Chad Crouch,06:56
0.0,Bach Organ Works: Orgelbüchlein,classical,James Kibbie,06:56
0.0,Live at Pacific Parc 08/07/2009,rock,Bobbie Peru,06:56
1.0,"First Whispers: Live at PlanoB, Porto, 20/03/08",rock,Archétypo 120,06:56
0.0,Groundless,jazz,Safir Nou,06:56
0.0,Los últimos diez minutos  de Maria Duval,rock,Los Negretes,06:56
0.0,old smiler,rock,Mt. Gigantic,06:55
0.0,Live at WFMU on Marty McSorley's Show on 05/05/2010,rock,Double Dagger,06:55
0.0,ECIM,rock,Cul De Sac,06:55
0.0,Self Agreement,rock,Rue de Prague,06:55
0.0,Live at WFMU on Three Chord Monte 5/12/09,rock,Greg Ashley,06:55
0.0,Canciones del Futuro,pop,Ghosts and Strings,06:55
1.0,II (friendly radio version),rock,The Grand Astoria,06:54
0.0,For Educational Use Only,rock,V.Majestic,06:54
0.0,Oceans,pop,Wintermitts,06:54
0.0,An indifferent ocean,pop,Bridget Hayden,06:53
0.0,RIVAL CLANS,rock,Di Kang,06:53
0.0,Rockin On The Portoman,pop,Radioactive Sparrow,06:53
0.0,Nero,rock,Tomydeepestago,06:52
0.0,Comfort Cake,pop,Magnus Sandberg,06:52
1.0,Facing the Sea,pop,Garmisch,06:52
0.0,Live à Madagascar,rock,On On On,06:52
0.0,May 15 1993 (live),rock,Disco Missile,06:51
0.0,Little histories,rock,Cloudkicker,06:51
0.0,The Overcast Project,hiphop,Formula,06:51
0.0,"Live on WFMU from Beerland in Austin TX, March 17th 2012",rock,The Wedding Present,06:51
0.0,Live Den,rock,ROW,06:51
1.0,Creative Commons Vol. 7,classical,Dexter Britain,06:51
0.0,Beethoven's Sonata No. 7 in D Major,classical,Daniel Veesey,06:51
0.0,Enemy Among Us,hiphop,The Impossebulls,06:50
0.0,Mário Gajarský,rock,Mário Gajarský,06:50
0.0,"Live on Dark Night of the Soul with Julie on March 13, 2012",pop,Sophia Knapp,06:50
1.0,Live in Nuremberg 2009,rock,Calexico,06:50
0.0,Intents &amp; Purposes,jazz,Kyle Bruckmann's Wrack,06:49
0.0,After PA (live),rock,Disco Missile,06:49
0.0,Detritus,rock,Waste Disposal Machine,06:48
0.0,Les Encores des Baudouins Morts,rock,Les Baudouins Morts,06:48
0.0,Live at WFMU's Choking On Cufflinks on 5/23/2009,rock,Screen Vinyl Image,06:47
0.0,"Language, as a music: II. Argument",classical,Benjamin Boretz,06:47
0.0,Untergang,rock,Die Morgendammerung Des Valhalla,06:47
0.0,Live at WFMU of Joe Belock's Show 6/19/2008,rock,Miss Derringer,06:46
0.0,Búsquedas Exploratorias,classical,Circus Marcus,06:46
0.0,Live at WFMU on Pat Duncan's Show 4/23/09,rock,Ism,06:46
0.0,"Live on WFMU's Three Chord Monte with Joe Belock - November 4, 2014",rock,Lee Bains III And The Glory Fires,06:46
0.0,"Live on WFMU's My Castle of Quiet, 4.22.2011",rock,Castevet,06:46
0.0,Niche,rock,Release The Long Ships,06:46
0.0,"Live on WFMU's Three Chord Monte with Joe Belock: May 25, 2015",rock,Flesh Lights,06:46
0.0,"Live at WFMU on Diane's Kamikaze Fun Machine, Feb 4th 2010",rock,Iron Man,06:45
0.0,"Live on WFMU's Evan ""Funk"" Davies Show - Oct 5, 2013",rock,Cosmonauts,06:45
0.0,"Live at WFMU on Imaginary Radio February 12, 2012",rock,Mutilation Rites,06:45
0.0,Arc and Sender,rock,Arc and Sender,06:45
1.0,Anima extasis,classical,Gavin Gamboa,06:44
0.0,"Live at Monty Hall, 2/17/2017",rock,Spowder,06:44
0.0,"Live on WFMU's Three Chord Monte with Joe Belock - September 14, 2015",rock,OBN IIIs,06:43
0.0,"Live on WFMU's Beastin' The Airwaves! with Keili: Dec 13, 2013",hiphop,E-Prosounds,06:43
